School Name,Region
Massachusetts Institute of Technology (MIT),Northeastern
California Institute of Technology (CIT),California
Harvey Mudd College,California
"Polytechnic University of New York, Brooklyn",Northeastern
Cooper Union,Northeastern
Worcester Polytechnic Institute (WPI),Northeastern
Carnegie Mellon University (CMU),Northeastern
Rensselaer Polytechnic Institute (RPI),Northeastern
Georgia Institute of Technology,Southern
Colorado School of Mines,Western
Stevens Institute of Technology,Northeastern
Illinois Institute of Technology (IIT),Midwestern
Wentworth Institute of Technology,Northeastern
Virginia Polytechnic Institute and State University (Virginia Tech),Southern
South Dakota School of Mines & Technology,Midwestern
New Mexico Institute of Mining and Technology (New Mexico Tech),Western
Rochester Institute of Technology (RIT),Northeastern
Embry-Riddle Aeronautical University (ERAU),Southern
Tennessee Technological University,Southern
University of Illinois at Urbana-Champaign (UIUC),Midwestern
"University of Maryland, College Park",Southern
"University of California, Santa Barbara (UCSB)",California
University of Texas (UT) - Austin,Southern
State University of New York (SUNY) at Albany,Northeastern
University of Florida (UF),Southern
Louisiana State University (LSU),Southern
University of Georgia (UGA),Southern
Pennsylvania State University (PSU),Northeastern
Arizona State University (ASU),Western
"Indiana University (IU), Bloomington",Midwestern
University of Iowa (UI),Midwestern
Randolph-Macon College,Southern
"University of Alabama, Tuscaloosa",Southern
University of Mississippi,Southern
University of New Hampshire (UNH),Northeastern
West Virginia University (WVU),Southern
University of Tennessee,Southern
Ohio University,Midwestern
Florida State University (FSU),Southern
Bucknell University,Northeastern
Colgate University,Northeastern
Amherst College,Northeastern
Lafayette College,Northeastern
Bowdoin College,Northeastern
College of the Holy Cross,Northeastern
Occidental College,California
Washington and Lee University,Southern
Swarthmore College,Northeastern
Davidson College,Southern
Carleton College,Midwestern
Williams College,Northeastern
Pomona College,California
"Wesleyan University (Middletown, Connecticut)",Northeastern
Bates College,Northeastern
Union College,Northeastern
University of Richmond,Southern
Vassar College,Northeastern
Middlebury College,Northeastern
Mount Holyoke College,Northeastern
Franklin and Marshall College,Northeastern
DePauw University,Midwestern
St. Olaf College,Midwestern
Colby College,Northeastern
Gettysburg College,Northeastern
Siena College,Northeastern
Smith College,Northeastern
Hamilton College,Northeastern
Randolph-Macon College,Southern
Wellesley College,Northeastern
Denison University,Midwestern
Oberlin College,Midwestern
University of Puget Sound,Western
Colorado College (CC),Western
Reed College,Western
Gustavus Adolphus College,Midwestern
Whitman College,Western
Ursinus College,Northeastern
Juniata College,Northeastern
Wittenberg University,Midwestern
Grinnell College,Midwestern
Skidmore College,Northeastern
Moravian College,Northeastern
Lewis & Clark College,Western
Fort Lewis College,Western
Thomas Aquinas College,California
Evergreen State College,Western
Dartmouth College,Northeastern
Princeton University,Northeastern
Yale University,Northeastern
Harvard University,Northeastern
University of Pennsylvania,Northeastern
Cornell University,Northeastern
Brown University,Northeastern
Columbia University,Northeastern
"University of California, Berkeley",California
University of Virginia (UVA),Southern
Cal Poly San Luis Obispo,California
University of California at Los Angeles (UCLA),California
"University of California, San Diego (UCSD)",California
"University of California, Davis",California
University of Colorado - Boulder (UCB),Western
"University of California, Irvine (UCI)",California
University of Illinois at Urbana-Champaign (UIUC),Midwestern
Texas A&M University,Southern
Binghamton University,Northeastern
University of Missouri - Rolla (UMR),Midwestern
San Jose State University (SJSU),California
"University of Maryland, College Park",Southern
"University of California, Santa Barbara (UCSB)",California
University of Texas (UT) - Austin,Southern
University of Michigan,Midwestern
Stony Brook University,Northeastern
State University of New York (SUNY) at Albany,Northeastern
Rutgers University,Northeastern
Purdue University,Midwestern
University of Connecticut (UConn),Northeastern
University of Massachusetts (UMass) - Amherst,Northeastern
"California State University (CSU), Chico",California
University of Florida (UF),Southern
University of Wisconsin (UW) - Madison,Midwestern
Louisiana State University (LSU),Southern
"California State University, Fullerton (CSUF)",California
George Mason University,Southern
University of Massachusetts (UMass) - Lowell,Northeastern
San Francisco State University (SFSU),California
University of Arizona,Western
Clemson University,Southern
University of Georgia (UGA),Southern
Pennsylvania State University (PSU),Northeastern
University of Washington (UW),Western
Michigan State University (MSU),Midwestern
University of Rhode Island (URI),Northeastern
San Diego State University (SDSU),California
Auburn University,Southern
Washington State University (WSU),Western
"California State University, Long Beach (CSULB)",California
Iowa State University,Midwestern
University of Delaware,Southern
University of Colorado - Denver,Western
"California State University, East Bay (CSUEB)",California
State University of New York (SUNY) at Farmingdale,Northeastern
University of Minnesota,Midwestern
Arizona State University (ASU),Western
"University of California, Santa Cruz (UCSC)",California
"Indiana University (IU), Bloomington",Midwestern
University of Iowa (UI),Midwestern
Ohio State University (OSU),Midwestern
North Carolina State University (NCSU),Southern
Oregon State University (OSU),Western
University of Utah,Western
"University of Nevada, Reno (UNR)",Western
University of Oklahoma,Southern
University of Arkansas,Southern
University of Vermont (UVM),Northeastern
University of Alabama at Huntsville (UAH),Southern
"California State University, Sacramento (CSUS)",California
University of Idaho,Western
University of Illinois at Chicago,Midwestern
State University of New York (SUNY) at Buffalo,Northeastern
University of Kansas,Midwestern
University of New Mexico (UNM),Western
University of North Carolina at Chapel Hill (UNCH),Southern
"University of Alabama, Tuscaloosa",Southern
"University of California, Riverside (UCR)",California
State University of New York (SUNY) at Geneseo,Northeastern
University of Missouri - Columbia,Midwestern
University of Nebraska,Midwestern
University of Texas at Arlington (UTA),Southern
Northern Illinois University (NIU),Midwestern
Oklahoma State University,Southern
University of North Dakota,Midwestern
"California State University, Northridge (CSUN)",California
University of Houston (UH),Southern
University of Mississippi,Southern
New Mexico State University,Western
Lamar University,Southern
Mississippi State University (MSU),Southern
Colorado State University (CSU),Western
Kansas State University (KSU),Midwestern
University of Wyoming (UW),Western
Utah State University,Western
University of Wisconsin (UW) - Platteville,Midwestern
University of Oregon,Western
University of Kentucky (UK),Southern
University of New Hampshire (UNH),Northeastern
University of Massachusetts (UMass) - Boston,Northeastern
West Virginia University (WVU),Southern
University of Maryland Baltimore County (UMBC),Southern
North Dakota State University (NDSU),Midwestern
State University of New York (SUNY) at Oswego,Northeastern
University of Massachusetts (UMass) - Dartmouth,Northeastern
Montana State University - Bozeman,Western
State University of New York (SUNY) at Oneonta,Northeastern
University of Louisiana (UL) at Lafayette,Southern
State University of New York (SUNY) at Plattsburgh,Northeastern
Wayne State University,Midwestern
University of Hawaii,Western
University of Toledo,Midwestern
Florida International University (FIU),Southern
University of Wisconsin (UW) - Whitewater,Midwestern
Western Washington University,Western
Minnesota State University - Mankato,Midwestern
University of Tennessee,Southern
University of Wisconsin (UW) - Milwaukee,Midwestern
University of Arkansas - Monticello (UAM),Southern
Penn State - Harrisburg,Northeastern
University of North Carolina at Charlotte (UNCC),Southern
Georgia State University,Southern
Western Michigan University (WMU),Midwestern
South Dakota State University (SDSU),Midwestern
Idaho State University,Western
Ohio University,Midwestern
Illinois State University,Midwestern
Cleveland State University,Midwestern
Florida State University (FSU),Southern
"University of Alaska, Anchorage",Western
Fitchburg State College,Northeastern
University of Nebraska at Omaha,Midwestern
Southern Illinois University Carbondale,Midwestern
University of Texas at El Paso (UTEP),Southern
"California State University, Dominguez Hills (CSUDH)",California
University Of Maine,Northeastern
Eastern Michigan University,Midwestern
Bowling Green State University,Midwestern
University of Montana,Western
University of Central Florida (UCF),Southern
University of South Carolina,Southern
"University of Nevada, Las Vegas (UNLV)",Western
St. Cloud State University,Midwestern
University of Wisconsin (UW) - Parkside,Midwestern
"California State University (CSU), Stanislaus",California
Humboldt State University,California
Florida Atlantic University (FAU),Southern
University of South Florida (USF),Southern
Portland State University (PSU),Western
Eastern Washington University,Western
University of Texas at San Antonio (UTSA),Southern
University of Akron,Midwestern
State University of New York (SUNY) at Potsdam,Northeastern
University of Alabama at Birmingham (UAB),Southern
University of Memphis (U of M),Southern
Boise State University (BSU),Western
Missouri State University (MSU),Midwestern
University of Wisconsin (UW) - La Crosse,Midwestern
Appalachian State University,Southern
Virginia Commonwealth University (VCU),Southern
University of Wisconsin (UW) - Stout,Midwestern
East Carolina University (ECU),Southern
Utah Valley State College,Western
University of Missouri - St. Louis (UMSL),Midwestern
Western Carolina University,Southern
University of Wisconsin (UW) - Oshkosh,Midwestern
State University of New York (SUNY) at Fredonia,Northeastern
University of Missouri - Kansas City (UMKC),Midwestern
University of Wisconsin (UW) - Eau Claire,Midwestern
Ball State University (BSU),Midwestern
University of North Carolina at Wilmington (UNCW),Southern
University of Wisconsin (UW) - Stevens Point,Midwestern
University of Southern Maine,Northeastern
Arkansas State University (ASU),Southern
Kent State University,Midwestern
Tarleton State University (TSU),Southern
University of Wisconsin (UW) - Green Bay,Midwestern
Morehead State University,Southern
Austin Peay State University,Southern
Pittsburg State University,Midwestern
Southern Utah University,Western
Montana State University - Billings,Western
Black Hills State University,Midwestern